"No.","Time","Source","Destination","Protocol","Length","srcport","dstport"
"222","12:37:07.441354","192.168.1.102","61.159.70.106","UDP","1321","14786","38696"
"223","12:37:07.495764","61.159.70.106","192.168.1.102","UDP","91","38696","14786"
"224","12:37:07.496036","61.159.70.106","192.168.1.102","UDP","141","38696","14786"
"225","12:37:07.496037","61.159.70.106","192.168.1.102","UDP","91","38696","14786"
"226","12:37:07.496037","61.159.70.106","192.168.1.102","UDP","90","38696","14786"
"227","12:37:07.496127","192.168.1.102","61.159.70.106","UDP","89","14786","38696"
"228","12:37:07.496553","61.159.70.106","192.168.1.102","UDP","88","38696","14786"
"229","12:37:07.504459","192.168.1.102","61.159.70.106","UDP","1344","14786","38696"
"230","12:37:07.565478","192.168.1.102","61.159.70.106","UDP","1324","14786","38696"
"231","12:37:07.580479","192.168.1.102","179.198.185.99","UDP","62","43759","26357"
"232","12:37:07.580548","192.168.1.102","162.226.53.149","UDP","62","43759","30030"
"233","12:37:07.580573","192.168.1.102","218.93.195.162","UDP","62","43759","6889"
"234","12:37:07.580596","192.168.1.102","173.249.142.158","UDP","62","43759","12598"
"235","12:37:07.580624","192.168.1.102","84.23.62.139","UDP","62","43759","64446"
"236","12:37:07.580658","192.168.1.102","84.236.71.13","UDP","62","43759","1057"
"237","12:37:07.580681","192.168.1.102","83.63.153.229","UDP","62","43759","57184"
"238","12:37:07.606711","103.208.153.194","192.168.1.102","TCP","54","19795","52100"
"239","12:37:07.627544","192.168.1.102","61.159.70.106","UDP","1341","14786","38696"
"240","12:37:07.692566","192.168.1.102","61.159.70.106","UDP","1324","14786","38696"
"241","12:37:07.754595","192.168.1.102","61.159.70.106","UDP","1341","14786","38696"
"242","12:37:07.815987","61.159.70.106","192.168.1.102","UDP","143","38696","14786"
"243","12:37:07.816154","192.168.1.102","61.159.70.106","UDP","253","14786","38696"
"244","12:37:07.816220","192.168.1.102","111.122.110.131","UDP","1155","14786","54321"
"245","12:37:07.877755","192.168.1.102","111.122.110.131","UDP","1344","14786","54321"
"246","12:37:07.940782","192.168.1.102","111.122.110.131","UDP","1322","14786","54321"
"247","12:37:07.949384","84.236.71.13","192.168.1.102","ICMP","90","43759","1057"
"248","12:37:08.004847","192.168.1.102","111.122.110.131","UDP","1343","14786","54321"
"249","12:37:08.065889","192.168.1.102","111.122.110.131","UDP","1322","14786","54321"
"250","12:37:08.122597","111.122.110.131","192.168.1.102","UDP","91","54321","14786"
"251","12:37:08.129950","192.168.1.102","111.122.110.131","UDP","1341","14786","54321"
"252","12:37:08.165753","61.159.70.106","192.168.1.102","UDP","89","38696","14786"
"253","12:37:08.190998","192.168.1.102","111.122.110.131","UDP","1323","14786","54321"
"254","12:37:08.225097","111.122.110.131","192.168.1.102","UDP","89","54321","14786"
"255","12:37:08.256040","192.168.1.102","111.122.110.131","UDP","1343","14786","54321"
"256","12:37:08.274233","61.159.70.106","192.168.1.102","UDP","91","38696","14786"
"257","12:37:08.274846","192.168.1.102","113.140.11.1","ICMP","74","",""
"258","12:37:08.287449","192.168.1.102","10.173.116.26","UDP","145","43759","62101"
"259","12:37:08.295213","10.173.116.26","192.168.1.102","UDP","329","62101","43759"
"260","12:37:08.317083","192.168.1.102","111.122.110.131","UDP","1324","14786","54321"
"261","12:37:08.320305","113.140.11.1","192.168.1.102","ICMP","74","",""
"262","12:37:08.325069","192.168.1.102","1.52.51.8","TCP","66","52101","39032"
"263","12:37:08.325069","192.168.1.102","37.209.252.51","TCP","66","52099","25192"
"264","12:37:08.325122","192.168.1.102","31.9.223.79","TCP","66","52103","56908"
"265","12:37:08.325168","192.168.1.102","120.20.22.129","TCP","66","52102","38699"
"266","12:37:08.379130","192.168.1.102","111.122.110.131","UDP","1342","14786","54321"
"267","12:37:08.379325","192.168.1.102","121.204.218.137","UDP","44","25165","6267"
"268","12:37:08.379397","192.168.1.102","84.94.62.131","eDonkey","44","25165","4672"
"269","12:37:08.379453","192.168.1.102","121.201.41.221","UDP","44","25165","54672"
"270","12:37:08.379506","192.168.1.102","86.61.67.190","eDonkey","44","25165","4672"
"271","12:37:08.379555","192.168.1.102","203.64.119.94","eDonkey","44","25165","4672"
"272","12:37:08.379607","192.168.1.102","222.90.118.238","UDP","44","25165","5157"
"273","12:37:08.379657","192.168.1.102","222.39.149.187","UDP","44","25165","10399"
"274","12:37:08.379710","192.168.1.102","82.166.182.71","UDP","69","25165","9055"
"275","12:37:08.441161","192.168.1.102","111.122.110.131","UDP","1477","14786","54321"
"276","12:37:08.443452","222.90.118.238","192.168.1.102","ICMP","72","25165","5157"
"277","12:37:08.450365","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"278","12:37:08.503203","192.168.1.102","111.122.110.131","UDP","1480","14786","54321"
"279","12:37:08.533161","111.122.110.131","192.168.1.102","UDP","89","54321","14786"
"280","12:37:08.533263","192.168.1.102","111.122.110.131","UDP","104","14786","54321"
"281","12:37:08.558227","192.168.1.102","220.181.111.188","TCP","54","51958","443"
"282","12:37:08.566260","192.168.1.102","111.122.110.131","UDP","1406","14786","54321"
"283","12:37:08.566338","192.168.1.102","61.159.70.106","UDP","158","14786","38696"
"284","12:37:08.605275","192.168.1.102","103.208.153.194","UDP","62","43759","19795"
"285","12:37:08.605350","192.168.1.102","1.52.51.8","UDP","62","43759","39032"
"286","12:37:08.605376","192.168.1.102","31.9.223.79","UDP","62","43759","56908"
"287","12:37:08.605400","192.168.1.102","120.20.22.129","UDP","62","43759","38699"
"288","12:37:08.605424","192.168.1.102","37.209.252.51","UDP","62","43759","25192"
"289","12:37:08.630310","192.168.1.102","61.159.70.106","UDP","1482","14786","38696"
"290","12:37:08.658977","111.122.110.131","192.168.1.102","UDP","88","54321","14786"
"291","12:37:08.692379","192.168.1.102","61.159.70.106","UDP","1479","14786","38696"
"292","12:37:08.723159","61.159.70.106","192.168.1.102","UDP","90","38696","14786"
"293","12:37:08.723278","192.168.1.102","61.159.70.106","UDP","102","14786","38696"
"294","12:37:08.755324","192.168.1.102","61.159.70.106","UDP","1481","14786","38696"
"295","12:37:08.817452","192.168.1.102","61.159.70.106","UDP","1481","14786","38696"
"296","12:37:08.854168","61.159.70.106","192.168.1.102","UDP","142","38696","14786"
"297","12:37:08.854260","192.168.1.102","61.159.70.106","UDP","90","14786","38696"
"298","12:37:08.864442","61.159.70.106","192.168.1.102","UDP","89","38696","14786"
"299","12:37:08.864443","61.159.70.106","192.168.1.102","UDP","89","38696","14786"
"300","12:37:08.864539","192.168.1.102","61.159.70.106","UDP","102","14786","38696"
"301","12:37:08.877466","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"302","12:37:08.907011","61.159.70.106","192.168.1.102","UDP","90","38696","14786"
"303","12:37:08.907121","192.168.1.102","61.159.70.106","UDP","106","14786","38696"
"304","12:37:08.936242","61.159.70.106","192.168.1.102","UDP","143","38696","14786"
"305","12:37:08.942531","192.168.1.102","61.159.70.106","UDP","1476","14786","38696"
"306","12:37:08.983069","103.208.153.194","192.168.1.102","ICMP","90","43759","19795"
"307","12:37:09.004579","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"308","12:37:09.060618","192.168.1.102","189.191.60.107","TCP","54","52035","58684"
"309","12:37:09.066619","192.168.1.102","61.159.70.106","UDP","1479","14786","38696"
"310","12:37:09.129648","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"311","12:37:09.165156","111.122.110.131","192.168.1.102","UDP","143","54321","14786"
"312","12:37:09.192628","192.168.1.102","61.159.70.106","UDP","1482","14786","38696"
"313","12:37:09.249731","192.168.1.102","111.122.110.131","UDP","90","14786","54321"
"314","12:37:09.254734","192.168.1.102","61.159.70.106","UDP","1480","14786","38696"
"315","12:37:09.262961","61.159.70.106","192.168.1.102","UDP","88","38696","14786"
"316","12:37:09.262961","61.159.70.106","192.168.1.102","UDP","141","38696","14786"
"317","12:37:09.262961","61.159.70.106","192.168.1.102","UDP","88","38696","14786"
"318","12:37:09.262962","61.159.70.106","192.168.1.102","UDP","88","38696","14786"
"319","12:37:09.263056","192.168.1.102","61.159.70.106","UDP","138","14786","38696"
"320","12:37:09.263119","192.168.1.102","61.159.70.106","UDP","88","14786","38696"
"321","12:37:09.278431","192.168.1.102","113.140.11.1","ICMP","74","",""
"322","12:37:09.300772","113.140.11.1","192.168.1.102","ICMP","74","",""
"323","12:37:09.310943","192.168.1.102","84.23.62.139","TCP","66","52107","64446"
"324","12:37:09.311058","192.168.1.102","86.98.10.82","UDP","62","43759","6890"
"325","12:37:09.311172","192.168.1.102","86.98.10.82","TCP","66","52108","6890"
"326","12:37:09.311230","192.168.1.102","39.59.132.227","UDP","62","43759","21418"
"327","12:37:09.311335","192.168.1.102","39.59.132.227","TCP","66","52109","21418"
"328","12:37:09.318792","192.168.1.102","61.159.70.106","UDP","994","14786","38696"
"329","12:37:09.318872","192.168.1.102","111.122.110.131","UDP","567","14786","54321"
"330","12:37:09.377841","192.168.1.102","111.122.110.131","UDP","1479","14786","54321"
"331","12:37:09.380056","192.168.1.102","116.3.53.101","eDonkey","44","25165","4672"
"332","12:37:09.380123","192.168.1.102","59.37.133.2","UDP","44","25165","4170"
"333","12:37:09.380176","192.168.1.102","219.133.232.40","UDP","44","25165","17613"
"334","12:37:09.380228","192.168.1.102","61.216.82.84","UDP","44","25165","57419"
"335","12:37:09.380278","192.168.1.102","83.132.88.131","UDP","44","25165","6956"
"336","12:37:09.380327","192.168.1.102","125.120.11.241","UDP","44","25165","6652"
